Date,Adani Enterprises,BEL,BHEL,HCL,HUL,ITC,SPYL,Tata Steel,VUSA
2022-11-07,3960.600098,109.650002,75.849998,112.800003,2532.800049,353.5,379.950012,106.699997,71.040001
2022-11-08,,,,,,,382.0,,71.540001
2022-11-09,3997.199951,108.050003,74.800003,113.25,2508.800049,360.700012,374.130005,106.099998,70.980003
2022-11-10,3992.25,106.699997,75.550003,110.75,2513.600098,356.0,394.690002,104.699997,71.940002
2022-11-11,4008.850098,107.300003,74.5,113.650002,2503.050049,356.350006,398.51001,107.550003,71.0
2022-11-14,4022.550049,106.599998,71.400002,116.449997,2457.800049,347.200012,395.119995,108.699997,71.379997
2022-11-15,4057.800049,107.050003,70.349998,119.199997,2457.5,345.25,398.48999,108.550003,71.910004
2022-11-16,3956.600098,108.300003,70.599998,116.900002,2477.850098,344.100006,395.450012,106.550003,71.019997
2022-11-17,4018.149902,110.599998,70.349998,112.25,2460.0,343.700012,394.23999,105.849998,71.010002
2022-11-18,4019.800049,107.349998,70.75,109.599998,2483.699951,341.049988,396.029999,105.5,71.400002
2022-11-21,4001.850098,105.800003,72.050003,109.199997,2501.399902,337.200012,394.589996,104.25,71.75
2022-11-22,4034.0,107.449997,74.050003,112.0,2515.699951,340.25,399.899994,105.199997,71.949997
2022-11-23,3903.300049,106.900002,74.949997,112.900002,2507.350098,339.799988,402.420013,105.449997,72.120003
2022-11-24,3921.100098,107.0,74.800003,114.099998,2549.149902,340.75,,105.5,72.330002
2022-11-25,3901.100098,107.150002,81.949997,114.599998,2537.449951,340.299988,402.329987,106.199997,72.529999
2022-11-28,3886.149902,107.400002,81.400002,114.5,2525.199951,340.049988,395.910004,104.900002,71.589996
2022-11-29,3878.399902,106.150002,81.050003,114.650002,2634.199951,342.299988,395.230011,106.099998,71.279999
2022-11-30,3917.899902,105.099998,83.699997,117.300003,2684.350098,340.0,407.679993,107.650002,71.5
2022-12-01,3915.100098,104.150002,84.650002,119.400002,2662.850098,339.549988,407.380005,110.75,72.470001
2022-12-02,3922.5,106.150002,90.550003,118.650002,2615.100098,337.149994,406.910004,112.0,72.25
2022-12-05,3930.399902,107.449997,87.650002,121.449997,2619.850098,336.75,399.589996,115.849998,71.879997
2022-12-06,4031.800049,105.699997,88.0,119.900002,2654.550049,337.299988,393.829987,112.949997,70.559998
2022-12-07,3999.300049,105.699997,87.150002,117.599998,2707.350098,340.100006,393.160004,111.199997,70.169998
2022-12-08,4025.0,105.300003,87.449997,118.099998,2705.449951,338.399994,396.23999,111.849998,70.589996
2022-12-09,3996.800049,105.800003,85.5,116.349998,2722.25,341.399994,393.279999,110.449997,70.32
2022-12-12,4016.699951,104.550003,86.75,115.25,2717.25,343.200012,398.950012,111.699997,70.400002
2022-12-13,4060.199951,105.150002,85.650002,114.5,2710.300049,345.600006,401.970001,111.199997,71.059998
2022-12-14,4055.800049,105.449997,85.599998,117.900002,2684.649902,345.399994,399.399994,113.050003,70.949997
2022-12-15,4043.75,103.25,83.949997,114.199997,2663.25,338.850006,389.630005,110.949997,68.650002
2022-12-16,3980.800049,99.449997,80.800003,111.099998,2671.300049,335.100006,383.269989,111.050003,68.0
2022-12-19,4075.300049,100.449997,83.800003,112.949997,2718.100098,340.5,380.019989,111.800003,67.489998
2022-12-20,4165.299805,101.300003,84.0,112.349998,2674.550049,340.149994,380.540009,110.949997,67.139999
2022-12-21,3901.949951,99.199997,81.150002,110.099998,2666.199951,335.149994,386.230011,109.400002,67.900002
2022-12-22,3868.550049,98.25,78.900002,107.400002,2645.350098,332.450012,380.720001,107.650002,67.0
